printer_string,printer_shortname,notes,books_on_workbench,workbench_set,export_cdt,group_ID
"Rawlins, James",jrawlins,"""J. Rawlins"" in Workbench",4.0,y,https://printprobdb.psc.edu/api/character_groupings/897a62d7-a689-4086-8707-40876dc96d10/download/,897a62d7-a689-4086-8707-40876dc96d10
"Rawlins, William",rawlins,"""W Rawlins"" in Workbench",6.0,y,https://printprobdb.psc.edu/api/character_groupings/020782f3-920d-4fed-8046-09de643c7378/download/,020782f3-920d-4fed-8046-09de643c7378
"Raworth, John",jraworth,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/1f3649bc-c1fb-4f7a-a1e3-f2dc3d15bda4/download/,1f3649bc-c1fb-4f7a-a1e3-f2dc3d15bda4
"Raworth, Ruth",rraworth,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/d3f56797-5eef-4fd2-a533-11f22a651dc0/download/,d3f56797-5eef-4fd2-a533-11f22a651dc0
"Ray, Joseph",jray,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/af82654c-654e-4505-9e06-5e1dcbe4abd1/download/,af82654c-654e-4505-9e06-5e1dcbe4abd1
"Redmayne, Elizabeth",eredmayne,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/99464645-73e3-4367-a05a-475775fe72b5/download/,99464645-73e3-4367-a05a-475775fe72b5
"Redmayne, John",jredmayneii,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/88f95acc-18df-4e91-ae61-45ea0e448686/download/,88f95acc-18df-4e91-ae61-45ea0e448686
"Redmayne, William",wredmayne,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/74b809ee-9447-435e-983d-9b804f0c7cc4/download/,74b809ee-9447-435e-983d-9b804f0c7cc4
"Richardson, John",jrichardson,,10.0,y,https://printprobdb.psc.edu/api/character_groupings/ad544734-db62-4d22-b119-d5271fb49937/download/,ad544734-db62-4d22-b119-d5271fb49937
"Roberts, Robert",rroberts,,9.0,y,https://printprobdb.psc.edu/api/character_groupings/26dde26f-bddd-4b87-a52f-8da1e15b350b/download/,26dde26f-bddd-4b87-a52f-8da1e15b350b
"Roycroft, Samuel",sroycroft,,8.0,y,https://printprobdb.psc.edu/api/character_groupings/e46d9fa4-0a26-45f9-8165-7de1fb65cf75/download/,e46d9fa4-0a26-45f9-8165-7de1fb65cf75
"Roycroft, Thomas",troycroft,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/6c1fccec-c826-466e-b027-952cb610552f/download/,6c1fccec-c826-466e-b027-952cb610552f
"Simmons, Mary",marysimmons,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/47ab32f3-2fe9-4b48-921b-25046a3f82a4/download/,47ab32f3-2fe9-4b48-921b-25046a3f82a4
"Simmons, Matthew",simmons,,7.0,y,https://printprobdb.psc.edu/api/character_groupings/e48f9e24-c5e7-477f-bf73-72a539f6545e/download/,e48f9e24-c5e7-477f-bf73-72a539f6545e
"Simmons, Samuel",ssimmons,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/2daa1555-5d73-4abc-9834-e96e999c5124/download/,2daa1555-5d73-4abc-9834-e96e999c5124
"Smith, Samuel",ssmith,,,y,https://printprobdb.psc.edu/api/character_groupings/f3a2f235-3336-4abe-94a5-935340c22256/download/,f3a2f235-3336-4abe-94a5-935340c22256
"Snowden, Thomas",tsnowden,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/c4b053f3-1a9a-4bcb-bb1a-10a140c2f6c0/download/,c4b053f3-1a9a-4bcb-bb1a-10a140c2f6c0
"Sowle, Andrew",asowle,,9.0,y,https://printprobdb.psc.edu/api/character_groupings/99a428fc-6f99-41d0-9b49-2b96f796832f/download/,99a428fc-6f99-41d0-9b49-2b96f796832f
"Sowle, Jane",jsowle,(Printed for/sold by on ESTC),1.0,y,https://printprobdb.psc.edu/api/character_groupings/cea4e9cb-8d71-4203-b24a-5f992b294db0/download/,cea4e9cb-8d71-4203-b24a-5f992b294db0
"Streater, John",jstreater,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/e81b526c-36c8-40d4-90a3-5b5c476db9b2/download/,e81b526c-36c8-40d4-90a3-5b5c476db9b2
"Swinock, Caleb",cswinock,,,y,https://printprobdb.psc.edu/api/character_groupings/7be0a52d-9eb9-462d-ab75-8286be61fb30/download/,7be0a52d-9eb9-462d-ab75-8286be61fb30
"Taylor, John",jtaylor,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/ed3fc16e-7956-4ade-9a6e-3e79ff9f78c6/download/,ed3fc16e-7956-4ade-9a6e-3e79ff9f78c6
"Thompson, Mary",mthompson,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/3290eb29-c3f1-4df5-9a9e-506c5e9ff525/download/,3290eb29-c3f1-4df5-9a9e-506c5e9ff525
"Thompson, Nathaniel",nthompson,,,y,https://printprobdb.psc.edu/api/character_groupings/24863310-8fa7-4a00-9d1b-05f2121ea47e/download/,24863310-8fa7-4a00-9d1b-05f2121ea47e
"Tooke, Benjamin",btooke,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/8da4f54d-0ef6-46da-90cc-0e715d4c23f7/download/,8da4f54d-0ef6-46da-90cc-0e715d4c23f7
"Tookey, Robert",rtookey,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/62283a74-f84f-4964-b1d4-f30fb14c103a/download/,62283a74-f84f-4964-b1d4-f30fb14c103a
"Twyn, John",twyn,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/3deec9b1-da90-40ad-a029-81e6a93395cb/download/,3deec9b1-da90-40ad-a029-81e6a93395cb
"Tyler, Evan",etyler,,9.0,y,https://printprobdb.psc.edu/api/character_groupings/1d49f402-f974-4fa3-b082-f43b3f993fa2/download/,1d49f402-f974-4fa3-b082-f43b3f993fa2
"Vaughan, Roger",rvaughn,,,y,https://printprobdb.psc.edu/api/character_groupings/2efe3bae-baa3-4615-864c-edc9bb16918c/download/,2efe3bae-baa3-4615-864c-edc9bb16918c
"Wallis, John",jwallis,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/7dac1119-26ff-4bfa-9fb9-5b4ca93ea91a/download/,7dac1119-26ff-4bfa-9fb9-5b4ca93ea91a
"Walter, Robert",rwalter,,,y,https://printprobdb.psc.edu/api/character_groupings/4cf449e6-e51b-4872-98cb-fefd6add9069/download/,4cf449e6-e51b-4872-98cb-fefd6add9069
"Warren, Alice",awarren,warren,2.0,y,https://printprobdb.psc.edu/api/character_groupings/c06bd7ad-c90a-4c71-9d88-e0c9dc4920e5/download/,c06bd7ad-c90a-4c71-9d88-e0c9dc4920e5
"Warren, Thomas",twarreniii,twarreniii,8.0,y,https://printprobdb.psc.edu/api/character_groupings/abd621b0-7287-4220-b3bc-230ba2320af5/download/,abd621b0-7287-4220-b3bc-230ba2320af5
"White, Barnard",bwhite,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/aa5d916e-24ef-49af-bb6b-cb8142da659a/download/,aa5d916e-24ef-49af-bb6b-cb8142da659a
"White, Margaret",mwhite,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/22ddbbb4-6897-4cea-b660-cd756c382ab5/download/,22ddbbb4-6897-4cea-b660-cd756c382ab5
"White, Robert",white,rwhite,6.0,y,https://printprobdb.psc.edu/api/character_groupings/a4ca6211-be6c-4a3a-9d9f-4ac8bdbdc7b8/download/,a4ca6211-be6c-4a3a-9d9f-4ac8bdbdc7b8
"Wilde, John",jwilde,,,y,https://printprobdb.psc.edu/api/character_groupings/eeb37770-6a3f-4488-b4a5-5cc21a0338c6/download/,eeb37770-6a3f-4488-b4a5-5cc21a0338c6
"Wilde, Richard",rwilde,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/d56ccafa-e4a1-4629-897b-c59c8a515a12/download/,d56ccafa-e4a1-4629-897b-c59c8a515a12
"Wilde, William",wwilde,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/e87e24eb-ac5f-4f63-91be-d565118a41ba/download/,e87e24eb-ac5f-4f63-91be-d565118a41ba
"Wilson, Robert",rwilson,,,y,https://printprobdb.psc.edu/api/character_groupings/e1756124-8e5c-4913-8a4c-7f331653e9b5/download/,e1756124-8e5c-4913-8a4c-7f331653e9b5
"Wilson, William",wilson,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/659d607d-7d94-4bbc-a29b-5b65ce69375a/download/,659d607d-7d94-4bbc-a29b-5b65ce69375a
"Winter, John",jwinter,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/c3c5b6fe-9d71-4644-a104-e1b952f0d954/download/,c3c5b6fe-9d71-4644-a104-e1b952f0d954
"Wood, Ralph",rawood,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/dfd1963c-cb89-4cf7-88c9-fd271bf96824/download/,dfd1963c-cb89-4cf7-88c9-fd271bf96824
"Wood, Robert",rowood,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/5694a679-cea0-4809-8d50-a317978cce18/download/,5694a679-cea0-4809-8d50-a317978cce18
